run_id,task_id,variant_id,track,architecture,backend,thinking_enabled,language_stressor,schema_stressor,context_stressor,efficiency_stressor,answer_match,arg_exact,avoidable_retries,completion_tokens,controller_repair_count,final_state_match,hallucinated_tool_rate,interface_reliability_score,latency_ms,malformed_call_rate,prompt_tokens,recovery_correct,steps_taken,success,tool_exact
20260409T072819Z_modular_agent_001_budget_compare_agent_001_budget_compare_clean,agent_001_budget_compare,agent_001_budget_compare_clean,full_stack,modular,mlx,False,,,,,1.0,1.0,0,15,0,1.0,0.0,1.0,25081,0.0,330,1.0,2,1.0,1.0
20260409T072821Z_modular_agent_002_reschedule_sarah_agent_002_reschedule_sarah_clean,agent_002_reschedule_sarah,agent_002_reschedule_sarah_clean,full_stack,modular,mlx,False,,,,,0.0,1.0,0,48,0,1.0,0.0,1.0,1959,0.0,479,1.0,2,0.0,1.0
20260409T072822Z_modular_agent_003_screenshot_patch_agent_003_screenshot_patch_clean,agent_003_screenshot_patch,agent_003_screenshot_patch_clean,full_stack,modular,mlx,False,,,,,1.0,1.0,0,25,0,1.0,0.0,1.0,1241,0.0,302,1.0,2,1.0,1.0
20260409T072824Z_modular_agent_004_repo_lookup_patch_agent_004_repo_lookup_patch_clean,agent_004_repo_lookup_patch,agent_004_repo_lookup_patch_clean,full_stack,modular,mlx,False,,,,,1.0,1.0,0,45,0,1.0,0.0,1.0,1793,0.0,351,1.0,3,1.0,1.0
20260409T072825Z_modular_agent_005_search_then_create_agent_005_search_then_create_clean,agent_005_search_then_create,agent_005_search_then_create_clean,full_stack,modular,mlx,False,,,,,1.0,1.0,0,47,0,1.0,0.0,1.0,1747,0.0,411,1.0,2,1.0,1.0
20260409T072826Z_modular_agent_006_ops_budget_compare_agent_006_ops_budget_compare_clean,agent_006_ops_budget_compare,agent_006_ops_budget_compare_clean,full_stack,modular,mlx,False,,,,,1.0,1.0,0,15,0,1.0,0.0,1.0,979,0.0,339,1.0,2,1.0,1.0
20260409T072827Z_modular_agent_007_direct_repo_patch_agent_007_direct_repo_patch_clean,agent_007_direct_repo_patch,agent_007_direct_repo_patch_clean,full_stack,modular,mlx,False,,,,,1.0,1.0,0,24,0,1.0,0.0,1.0,1147,0.0,296,1.0,2,1.0,1.0
20260409T072829Z_modular_agent_008_billing_screenshot_patch_agent_008_billing_screenshot_patch_clean,agent_008_billing_screenshot_patch,agent_008_billing_screenshot_patch_clean,full_stack,modular,mlx,False,,,,,1.0,1.0,0,22,0,1.0,0.0,1.0,1170,0.0,293,1.0,2,1.0,1.0
20260409T072831Z_modular_agent_009_reschedule_vendor_agent_009_reschedule_vendor_clean,agent_009_reschedule_vendor,agent_009_reschedule_vendor_clean,full_stack,modular,mlx,False,,,,,0.0,1.0,0,48,0,1.0,0.0,1.0,2192,0.0,479,1.0,2,0.0,1.0
20260409T072832Z_modular_agent_010_parallel_audit_patch_agent_010_parallel_audit_patch_clean,agent_010_parallel_audit_patch,agent_010_parallel_audit_patch_clean,full_stack,modular,mlx,False,,,,,1.0,1.0,0,22,0,1.0,0.0,1.0,1256,0.0,366,1.0,3,1.0,1.0
