run_id,task_id,variant_id,track,architecture,backend,thinking_enabled,language_stressor,schema_stressor,context_stressor,efficiency_stressor,answer_match,avoidable_retries,completion_tokens,exact_match,hallucinated_tool_rate,latency_ms,malformed_call_rate,prompt_tokens,steps_taken,success
20260409T070425Z_monolith_think_001_math_think_001_math_clean,think_001_math,think_001_math_clean,thinking,monolith,hf,False,,,,,1.0,0,12,1.0,0.0,48607,0.0,19,0,1.0
20260409T070438Z_monolith_think_002_discount_think_002_discount_clean,think_002_discount,think_002_discount_clean,thinking,monolith,hf,False,,,,,0.0,0,64,0.0,0.0,13519,0.0,30,0,0.0
20260409T070451Z_monolith_think_003_policy_reasoning_think_003_policy_reasoning_clean,think_003_policy_reasoning,think_003_policy_reasoning_clean,thinking,monolith,hf,False,,,,,0.0,0,60,0.0,0.0,12633,0.0,28,0,0.0
20260409T070503Z_monolith_think_004_code_fix_think_004_code_fix_clean,think_004_code_fix,think_004_code_fix_clean,thinking,monolith,hf,False,,,,,0.0,0,64,0.0,0.0,11799,0.0,25,0,0.0
20260409T070514Z_monolith_think_005_release_owner_think_005_release_owner_clean,think_005_release_owner,think_005_release_owner_clean,thinking,monolith,hf,False,,,,,0.0,0,64,0.0,0.0,11575,0.0,17,0,0.0
20260409T070532Z_monolith_think_006_screenshot_security_think_006_screenshot_security_clean,think_006_screenshot_security,think_006_screenshot_security_clean,thinking,monolith,hf,False,,,,,0.0,0,64,0.0,0.0,17115,0.0,301,0,0.0
20260409T070546Z_monolith_think_007_doc_image_summary_think_007_doc_image_summary_clean,think_007_doc_image_summary,think_007_doc_image_summary_clean,thinking,monolith,hf,False,,,,,1.0,0,64,1.0,0.0,14650,0.0,298,0,1.0
20260409T070557Z_monolith_think_008_schedule_choice_think_008_schedule_choice_clean,think_008_schedule_choice,think_008_schedule_choice_clean,thinking,monolith,hf,False,,,,,1.0,0,64,1.0,0.0,11196,0.0,33,0,1.0
20260409T070602Z_monolith_think_009_budget_summary_think_009_budget_summary_clean,think_009_budget_summary,think_009_budget_summary_clean,thinking,monolith,hf,False,,,,,0.0,0,23,0.0,0.0,4271,0.0,19,0,0.0
20260409T070612Z_monolith_think_010_repo_reasoning_think_010_repo_reasoning_clean,think_010_repo_reasoning,think_010_repo_reasoning_clean,thinking,monolith,hf,False,,,,,0.0,0,64,0.0,0.0,10760,0.0,30,0,0.0
