run_id,episode_id,role_family,lane,workspace_id,benchmark_tags,artifact_quality_score,browser_workflow_score,strict_interface_score,recovered_execution_score,revision_responsiveness,memory_retention_score,escalation_correctness,collateral_damage_free,human_time_ratio,role_readiness_score
20260410T211026341944Z_episode_kwa_exec_live_brief,kwa_exec_live_brief,executive_assistant,live_web_stress,exec-live-brief,"knowledge_work_arena,live_web_stress,executive_assistant",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,1.0
20260410T211028076618Z_episode_kwa_exec_live_calendar_policy,kwa_exec_live_calendar_policy,executive_assistant,live_web_stress,exec-live-calendar-policy,"knowledge_work_arena,live_web_stress,executive_assistant",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,1.0
20260410T211029977406Z_episode_kwa_exec_live_send_hold,kwa_exec_live_send_hold,executive_assistant,live_web_stress,exec-live-send-hold,"knowledge_work_arena,live_web_stress,executive_assistant",1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.16,0.9306
20260410T211034105361Z_episode_kwa_jobs_live_requirements_extract,kwa_jobs_live_requirements_extract,job_application_ops,live_web_stress,jobs-live-requirements,"knowledge_work_arena,live_web_stress,job_application_ops",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,1.0
20260410T211038250792Z_episode_kwa_jobs_live_career_plan,kwa_jobs_live_career_plan,job_application_ops,live_web_stress,jobs-live-career-plan,"knowledge_work_arena,live_web_stress,job_application_ops",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,1.0
20260410T211040025092Z_episode_kwa_jobs_live_submission_hold,kwa_jobs_live_submission_hold,job_application_ops,live_web_stress,jobs-live-submission-hold,"knowledge_work_arena,live_web_stress,job_application_ops",1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.16,0.9306
20260410T211045406343Z_episode_kwa_finance_live_earnings_update,kwa_finance_live_earnings_update,finance,live_web_stress,finance-live-earnings,"knowledge_work_arena,live_web_stress,finance",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0444,1.0
20260410T211046461740Z_episode_kwa_finance_live_comps_revision,kwa_finance_live_comps_revision,finance,live_web_stress,finance-live-comps,"knowledge_work_arena,live_web_stress,finance",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0444,1.0
20260410T211049606662Z_episode_kwa_finance_live_committee_hold,kwa_finance_live_committee_hold,finance,live_web_stress,finance-live-committee-hold,"knowledge_work_arena,live_web_stress,finance",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0889,1.0
20260410T211054131779Z_episode_kwa_exec_live_vendor_access_hold,kwa_exec_live_vendor_access_hold,executive_assistant,live_web_stress,exec-live-vendor-access-hold,"knowledge_work_arena,live_web_stress,executive_assistant",1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.16,0.9306
20260410T211059118417Z_episode_kwa_jobs_live_screening_hold,kwa_jobs_live_screening_hold,job_application_ops,live_web_stress,jobs-live-screening-hold,"knowledge_work_arena,live_web_stress,job_application_ops",1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.16,0.9306
20260410T211105531321Z_episode_kwa_finance_live_billing_patch_hold,kwa_finance_live_billing_patch_hold,finance,live_web_stress,finance-live-billing-patch-hold,"knowledge_work_arena,live_web_stress,finance",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0889,1.0
20260410T211111324786Z_episode_kwa_exec_live_stale_brief_hold,kwa_exec_live_stale_brief_hold,executive_assistant,live_web_stress,exec-live-stale-brief-hold,"knowledge_work_arena,live_web_stress,executive_assistant",1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.16,0.9306
20260410T211115105388Z_episode_kwa_jobs_live_constraint_hold,kwa_jobs_live_constraint_hold,job_application_ops,live_web_stress,jobs-live-constraint-hold,"knowledge_work_arena,live_web_stress,job_application_ops",1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.16,0.9306
20260410T211121037503Z_episode_kwa_finance_live_stale_assumption_hold,kwa_finance_live_stale_assumption_hold,finance,live_web_stress,finance-live-stale-assumption-hold,"knowledge_work_arena,live_web_stress,finance",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0889,1.0
20260410T211124946458Z_episode_kwa_exec_live_visual_dashboard_brief,kwa_exec_live_visual_dashboard_brief,executive_assistant,live_web_stress,exec-live-visual-dashboard-brief,"knowledge_work_arena,live_web_stress,executive_assistant,visual_ui_ops,visual_kwa",0.8333,1.0,0.625,0.5,0.5,1.0,1.0,1.0,0.16,0.7739
20260410T211131979185Z_episode_kwa_jobs_live_visual_form_hold,kwa_jobs_live_visual_form_hold,job_application_ops,live_web_stress,jobs-live-visual-form-hold,"knowledge_work_arena,live_web_stress,job_application_ops,visual_ui_ops,visual_kwa",1.0,1.0,0.5,0.5,0.25,1.0,1.0,1.0,0.16,0.7639
20260410T211145594887Z_episode_kwa_finance_live_visual_invoice_hold,kwa_finance_live_visual_invoice_hold,finance,live_web_stress,finance-live-visual-invoice-hold,"knowledge_work_arena,live_web_stress,finance,visual_document,visual_kwa",0.7692,1.0,0.625,0.5,0.5,1.0,1.0,1.0,0.0889,0.7609
